genre,q,a,img,url
きょうりゅう,つのが さんぼんあって、かおの まわりに フリルが あるのは？,とりけらとぷす,🦖,1-27529180.jpg
きょうりゅう,きょうりゅうの おうさまで、てが とっても ちいさいのは？,てぃらのさうるす,👑,2-27529173.jpg
きょうりゅう,せなかに いたが たくさん ならんでいるのは？,すてごさうるす,🛡️,3-27529173.jpg
きょうりゅう,あたまが とっても かたくて、ずつきが とくいなのは？,ぱきけふぁろさうるす,👷,4-1139660.jpg
きょうりゅう,よろい みたいな からだで、しっぽに はんまーが ついているのは？,あんきろさうるす,🔨,5-23369480.jpg
きょうりゅう,くびが とーっても ながくて、からだが おおきいのは？,ぶらきおさうるす,🦒,6-tanrica-ai-generated-8827035_1920.png
きょうりゅう,せなかに おおきな ほが あって、およぐのが とくいなのは？,すぴのさうるす,⛵,7-sergeikolo-ai-generated-9651326_1920.png
きょうりゅう,うみの おうさまで、とっても おおきな くちを しているのは？,もささうるす,🌊,8.JPG
きょうりゅう,そらを とぶのが とくいな、つばさが ある きょうりゅうは？,ぷてらのどん,🚀,9.JPG

きょうりゅう,かぎづめが とっても おおきくて、はしるのが はやいのは？,でぃのにくす,🏃,10.JPG

きょうりゅう,あごが とっても つよくて、およぐのが とくいな きょうりゅうは？,ばりおにくす,🐊,11.JPG

きょうりゅう,はなが とんがっていて、あたまの うしろに ながい ツノが あるのは？,ぱらさうろろふす,🎺,12.JPG

きょうりゅう,ちいさいけれど、とっても はしるのが はやい きょうりゅうは？,こむぷそぐなとぅす,🐾,13.JPG

きょうりゅう,たまごを とっても 大切（たいせつ）に そだてる きょうりゅうは？,まいあさうら,🥚,14.JPG

きょうりゅう,てが かま みたいに とっても ながくて、おおきいのは？,てりじのさうるす,⚔️,15.JPG

きょうりゅう,くびが おどろくほど ながーくて、しっぽも ながいのは？,でぃぷろどくす,🦕,16.JPG

きょうりゅう,あたまに おおきな とさかが あって、２つの はをもつのは？,でぃろふぉさうるす,🦎,17.JPG

きょうりゅう,とっても 小（ちい）さくて、とり みたいな はねが あるのは？,みくろらぷとる,🪶,18.JPG

きょうりゅう,はなが おおきくて、あたまに ２つの ツノが あるのは？,かるのたうるす,🐂,19.JPG

きょうりゅう,おもたい 体で、せなかに とげとげが たくさん あるのは？,けんとろさうるす,🌵,20.JPG

どうぶつ,おはなが ながーくて、おみみが パタパタ。だーれだ？,ぞう,🐘,21.JPG

どうぶつ,ささを むしゃむしゃ たべる、しろと くろの くまさんは？,ぱんだ,🐼,22.JPG

どうぶつ,くびが とっても ながくて、あたまが たかい ところに あるのは？,きりん,🦒,23.JPG

どうぶつ,おなかの ぽけっとに、あかちゃんを いれて ぴょんぴょん はねるのは？,かんがるー,🦘,24.JPG

どうぶつ,たてがみが あって、どうぶつの おうさまと よばれるのは？,らいおん,🦁,25.JPG

どうぶつ,おはなが ぶうぶう、しっぽが くるりん。だーれだ？,ぶた,🐷,26.JPG

どうぶつ,しろと くろの しましま もようが ある、うまの なかまは？,しまうま,🦓,27.JPG

どうぶつ,ほっぺに たくさん たべものを つめこむ、ちいさい どうぶつは？,はむすたー,🐹,28.JPG

どうぶつ,ゆっくーり ゆっくーり あるく、せなかに こうらがあるのは？,かめ,🐢,29.JPG

どうぶつ,おやまの うえで「こんこん」なくのは？,きつね,🦊,30.JPG

どうぶつ,木（き）の うえで、ゆっくーり ぶらさがって 寝（ね）ているのは？,なまけもの,🦥,31.JPG

どうぶつ,おめめが くりくりで、よるに 「ほうほう」 なくのは？,ふくろう,🦉,32.JPG

どうぶつ,はなが ピンクで、おみみが ながーい。ぴょんぴょん はねるのは？,うさぎ,🐰,33.JPG

どうぶつ,あかい おしりで、きから きへと ぴょんぴょん とぶのは？,さる,🐒,34.JPG

どうぶつ,こおりの うえを よちよち あるく、しろくて おおきい くまは？,しろくま,🐻‍❄️,35.JPG

どうぶつ,ガオーっと おおきな くちを あける、みずべに いる おおきな いきものは？,かば,🦛,36.JPG

どうぶつ,おはなに おおきな ツノが ある、からだが よろい みたいに かたいのは？,さい,🦏,37.JPG

どうぶつ,しましま もようが あって、とっても こわーい はを もつ とらの なかまは？,とら,🐯,38.JPG

どうぶつ,あしが とっても はやくて、しゅん！と はしる どうぶつは？,ちーたー,🐆,39.JPG

どうぶつ,とっても あたまが よく、うみの なかで ひとと あそぶのは？,いるか,🐬,40.JPG

ようかい,あたまに おさらが あって、きゅうりが だいすきなのは？,かっぱ,🥒,41.JPG

ようかい,ひとつだけ おおきな めが あって、げたを はいているのは？,ひとつめこぞう,👁️,42.JPG

ようかい,まっしろな 体で、よるに どろどろ〜っと でてくるのは？,ゆうれい,👻,43.JPG

ようかい,おおきな おくちで、こわーい かおを している。やまに いるのは？,おに,👹,44.JPG

ようかい,おはなが とっても ながくて、うちわを もっているのは？,てんぐ,👺,45.JPG

ようかい,かべの 形（かたち）をしていて、とおせんぼ を するのは？,ぬりかべ,🧱,46.JPG

ようかい,ぬの みたいに ひらひら そらを とぶのは？,いったんもめん,🏳️,47.JPG

ようかい,あめが ふっている ときに、あしが ひとつでてくる かさは？,からかさおばけ,☂️,48.JPG

ようかい,ふるい ちょうちんから、おっきな したが ぺろっと でるのは？,ちょうちんおばけ,🏮,59.JPG

ようかい,あずきを 「しょきしょき」 あらっている おとを 出すのは？,あずきあらい,🥣,50.JPG

ようかい,ふるい ぞうりが おばけになって、よるに はしりだすのは？,ばけぞうり,🩴,52.JPG

ようかい,ふるい ほうきが おばけになって、ぴょんぴょん はねるのは？,ほうきがみ,🧹,53.JPG

ようかい,こわーい かおを しているけれど、おふろを きれいにするのは？,あかなめ,👅,54.JPG

ようかい,ゆきが ふっている ときに あらわれる、まっしろな おねえさんは？,ゆきおんな,❄️,55.JPG

ようかい,おおきな とらの 体（からだ）に、へびの しっぽが あるのは？,ぬえ,🐍,56.JPG

ようかい,よるに まくらを ひっくりかえして、いたずらをするのは？,まくらがえし,🛌,57.JPG

ようかい,とっても おおきな ガイコツ（がいこつ）の おばけは？,がしゃどくろ,💀,58.JPG

ようかい,せかいで いちばん かしこい、クイズが だいすきな はかせは？,とうごはかせ,🎓,60.jpg
